age,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,shipping_type,previous_purchases,payment_method,frequency_of_purchases,subscription_status_Yes,discount_applied_Yes,Male
42,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Free Shipping,26,Credit Card,Weekly,1,1,1
29,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Next Day Air,35,Credit Card,Weekly,1,1,1
47,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Next Day Air,35,Debit Card,Bi-Weekly,1,1,1
40,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,2-Day Shipping,49,Credit Card,Annually,1,1,1
41,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Store Pickup,46,Credit Card,Weekly,1,1,1
21,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Store Pickup,17,Debit Card,Fortnightly,1,1,1
69,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Free Shipping,29,Venmo,Monthly,1,1,1
63,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Standard,4,Debit Card,Weekly,1,1,1
50,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Express,17,Cash,Weekly,1,1,1
55,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Store Pickup,21,Credit Card,Every 3 Months,1,1,1
30,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Free Shipping,31,Credit Card,Fortnightly,1,1,1
33,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,2-Day Shipping,43,Credit Card,Weekly,1,1,1
65,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Standard,18,Debit Card,Fortnightly,1,1,1
65,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,2-Day Shipping,44,Venmo,Every 3 Months,1,1,1
31,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,2-Day Shipping,3,Venmo,Every 3 Months,1,1,1
45,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Store Pickup,49,Debit Card,Monthly,1,1,1
57,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Next Day Air,21,Cash,Every 3 Months,1,1,1
48,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Express,5,Cash,Weekly,1,1,1
22,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Express,32,Debit Card,Every 3 Months,1,1,1
36,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Express,34,Bank Transfer,Annually,1,1,1
18,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Store Pickup,21,Bank Transfer,Every 3 Months,1,1,1
48,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Free Shipping,43,Bank Transfer,Bi-Weekly,1,1,1
49,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Express,3,Cash,Monthly,1,1,1
64,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Free Shipping,21,Credit Card,Annually,1,1,1
50,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Free Shipping,32,Venmo,Monthly,1,1,1
22,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Next Day Air,36,Debit Card,Fortnightly,1,1,1
50,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Free Shipping,50,Venmo,Fortnightly,1,1,1
38,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,2-Day Shipping,43,Bank Transfer,Every 3 Months,1,1,1
19,Sandals,Footwear,72,New York,XL,Blue,Summer,3.3,Store Pickup,24,Credit Card,Every 3 Months,1,1,1
67,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Express,36,Credit Card,Every 3 Months,1,1,1
19,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,2-Day Shipping,21,Credit Card,Every 3 Months,1,1,1
36,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Standard,34,Bank Transfer,Weekly,1,1,1
52,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Standard,42,Bank Transfer,Every 3 Months,1,1,1
53,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Next Day Air,2,Debit Card,Bi-Weekly,1,1,1
24,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,2-Day Shipping,47,Cash,Bi-Weekly,1,1,1
52,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,2-Day Shipping,44,Debit Card,Fortnightly,1,1,1
33,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Free Shipping,35,Credit Card,Monthly,1,1,1
47,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Next Day Air,15,Cash,Quarterly,1,1,1
25,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Express,29,Credit Card,Monthly,1,1,1
44,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Standard,18,Credit Card,Every 3 Months,1,1,1
61,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,2-Day Shipping,13,Venmo,Every 3 Months,1,1,1
37,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Standard,46,Credit Card,Weekly,1,1,1
58,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Free Shipping,28,Credit Card,Weekly,1,1,1
37,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Free Shipping,48,PayPal,Monthly,1,1,1
32,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.6,Express,43,Venmo,Every 3 Months,1,1,1
21,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Store Pickup,37,Cash,Annually,1,1,1
20,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Next Day Air,20,Bank Transfer,Annually,1,1,1
26,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Express,33,Debit Card,Quarterly,1,1,1
62,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Express,31,Cash,Fortnightly,1,1,1
27,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Express,50,Credit Card,Bi-Weekly,1,1,1
51,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Next Day Air,35,Credit Card,Quarterly,1,1,1
54,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Next Day Air,22,Venmo,Bi-Weekly,1,1,1
55,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,2-Day Shipping,1,PayPal,Monthly,1,1,1
69,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Next Day Air,4,Bank Transfer,Annually,1,1,1
64,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Standard,31,Credit Card,Monthly,1,1,1
28,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Next Day Air,46,PayPal,Fortnightly,1,1,1
70,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Next Day Air,32,Bank Transfer,Bi-Weekly,1,1,1
58,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Next Day Air,43,Bank Transfer,Fortnightly,1,1,1
56,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Standard,26,Venmo,Fortnightly,1,1,1
26,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Free Shipping,9,Credit Card,Annually,1,1,1
37,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Free Shipping,28,PayPal,Bi-Weekly,1,1,1
44,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Next Day Air,20,PayPal,Quarterly,1,1,1
70,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Store Pickup,9,Cash,Weekly,1,1,1
53,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Standard,48,Debit Card,Every 3 Months,1,1,1
55,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Free Shipping,12,Venmo,Annually,1,1,1
50,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Express,29,Cash,Fortnightly,1,1,1
50,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,2-Day Shipping,27,Cash,Bi-Weekly,1,1,1
38,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Express,44,Cash,Annually,1,1,1
64,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,Express,32,Bank Transfer,Annually,1,1,1
19,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Standard,11,Cash,Fortnightly,1,1,1
40,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,2-Day Shipping,44,Cash,Fortnightly,1,1,1
57,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Free Shipping,46,Cash,Weekly,1,1,1
44,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Next Day Air,50,PayPal,Annually,1,1,1
49,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Next Day Air,45,Venmo,Every 3 Months,1,1,1
43,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Store Pickup,48,Cash,Every 3 Months,1,1,1
24,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Next Day Air,26,Credit Card,Weekly,1,1,1
20,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Standard,21,Credit Card,Fortnightly,1,1,1
24,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,2-Day Shipping,49,PayPal,Bi-Weekly,1,1,1
44,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,Next Day Air,13,PayPal,Fortnightly,1,1,1
28,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,Standard,46,Credit Card,Weekly,1,1,1
30,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,2-Day Shipping,42,PayPal,Weekly,1,1,1
52,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,Next Day Air,25,Venmo,Annually,1,1,1
43,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,Store Pickup,25,Cash,Monthly,1,1,1
43,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,Express,12,PayPal,Quarterly,1,1,1
39,Blouse,Clothing,86,South Carolina,M,White,Winter,3.3,Free Shipping,4,Debit Card,Quarterly,1,1,1
68,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,Free Shipping,38,PayPal,Weekly,1,1,1
68,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.4,Store Pickup,42,Bank Transfer,Weekly,1,1,1
49,Coat,Outerwear,95,Florida,M,White,Fall,3.8,Store Pickup,30,Venmo,Annually,1,1,1
63,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,3.9,2-Day Shipping,50,Credit Card,Weekly,1,1,1
56,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.9,Free Shipping,45,PayPal,Weekly,1,1,1
37,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,3.1,Free Shipping,33,Credit Card,Fortnightly,1,1,1
30,Coat,Outerwear,48,Missouri,M,Beige,Fall,2.7,Store Pickup,25,PayPal,Quarterly,1,1,1
19,Shoes,Footwear,43,New Jersey,M,Silver,Fall,3.2,Express,25,Cash,Monthly,1,1,1
24,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,Standard,44,Debit Card,Quarterly,1,1,1
52,Skirt,Clothing,30,Colorado,S,Black,Fall,4.0,Standard,21,Venmo,Fortnightly,1,1,1
63,Shoes,Footwear,64,Idaho,M,Purple,Summer,3.5,2-Day Shipping,31,Bank Transfer,Fortnightly,1,1,1
37,Gloves,Accessories,90,Wyoming,M,Gray,Fall,2.6,Store Pickup,47,Debit Card,Annually,1,1,1
38,Pants,Clothing,76,Delaware,M,White,Summer,3.2,Free Shipping,14,PayPal,Monthly,1,1,1
35,Boots,Footwear,96,California,L,Cyan,Fall,4.9,Standard,17,Debit Card,Every 3 Months,1,1,1
28,Sunglasses,Accessories,47,North Dakota,L,Turquoise,Fall,4.5,Next Day Air,3,Venmo,Annually,1,1,1
30,Shirt,Clothing,85,South Carolina,S,Brown,Summer,4.3,Express,42,Venmo,Annually,1,1,1
69,Hoodie,Clothing,55,North Carolina,M,Maroon,Winter,3.2,Standard,22,Debit Card,Annually,1,1,1
41,Dress,Clothing,98,Oklahoma,M,Charcoal,Fall,3.6,Next Day Air,21,Venmo,Quarterly,1,1,1
63,Socks,Clothing,77,Maine,S,Olive,Spring,4.3,Free Shipping,21,Bank Transfer,Quarterly,1,1,1
35,Shorts,Clothing,26,Missouri,M,Lavender,Fall,4.0,Standard,40,Debit Card,Annually,1,1,1
36,Hat,Accessories,68,Vermont,S,Yellow,Fall,3.0,Next Day Air,1,Bank Transfer,Fortnightly,1,1,1
25,Shirt,Clothing,73,Connecticut,XL,Teal,Fall,4.1,Standard,50,Bank Transfer,Monthly,1,1,1
58,Gloves,Accessories,27,New Hampshire,M,Charcoal,Fall,3.8,Store Pickup,39,Bank Transfer,Every 3 Months,1,1,1
27,Gloves,Accessories,23,Texas,M,Orange,Summer,4.6,Free Shipping,34,Venmo,Monthly,1,1,1
65,Backpack,Accessories,49,North Dakota,M,Olive,Fall,3.0,Express,29,Venmo,Fortnightly,1,1,1
54,Sunglasses,Accessories,74,California,M,Turquoise,Summer,3.0,Store Pickup,31,PayPal,Bi-Weekly,1,1,1
54,Skirt,Clothing,67,Virginia,M,Purple,Summer,3.4,Standard,8,Debit Card,Weekly,1,1,1
59,Handbag,Accessories,65,Delaware,S,Purple,Spring,2.6,Free Shipping,5,Credit Card,Fortnightly,1,1,1
42,Handbag,Accessories,60,Kentucky,S,Yellow,Winter,2.8,Store Pickup,7,Cash,Monthly,1,1,1
46,Sneakers,Footwear,31,Delaware,XL,Indigo,Fall,4.0,Store Pickup,30,Cash,Monthly,1,1,1
33,Gloves,Accessories,27,Arkansas,M,Green,Fall,4.0,Express,14,Credit Card,Every 3 Months,1,1,1
34,Shoes,Footwear,80,Louisiana,M,Magenta,Summer,3.0,Express,5,Cash,Fortnightly,1,1,1
27,Jacket,Outerwear,30,Nevada,S,Gold,Summer,3.3,Standard,3,PayPal,Every 3 Months,1,1,1
52,Shirt,Clothing,25,Wyoming,M,Maroon,Fall,2.6,Store Pickup,46,Venmo,Bi-Weekly,1,1,1
29,Shorts,Clothing,35,Virginia,M,Blue,Summer,3.6,Store Pickup,4,Credit Card,Weekly,1,1,1
54,Jewelry,Accessories,67,Nebraska,M,Violet,Summer,3.9,Next Day Air,42,Credit Card,Bi-Weekly,1,1,1
25,Hat,Accessories,46,Hawaii,M,Turquoise,Fall,3.4,Standard,30,Cash,Annually,1,1,1
41,Shoes,Footwear,35,Vermont,L,Brown,Winter,3.5,Express,37,Venmo,Annually,1,1,1
53,Coat,Outerwear,86,Oklahoma,L,Violet,Fall,2.8,Next Day Air,2,Bank Transfer,Annually,1,1,1
53,Backpack,Accessories,81,New Hampshire,L,Black,Spring,2.7,Next Day Air,30,Credit Card,Quarterly,1,1,1
21,Hoodie,Clothing,42,Kansas,L,Magenta,Fall,3.7,Next Day Air,47,Bank Transfer,Monthly,1,1,1
61,Skirt,Clothing,43,Idaho,L,Lavender,Fall,4.3,2-Day Shipping,21,PayPal,Quarterly,1,1,1
64,Boots,Footwear,31,Illinois,M,Violet,Fall,4.9,Store Pickup,9,Bank Transfer,Fortnightly,1,1,1
51,Sandals,Footwear,81,South Dakota,L,Green,Fall,3.3,Store Pickup,12,Debit Card,Fortnightly,1,1,1
32,Pants,Clothing,61,Massachusetts,M,Beige,Summer,4.7,Next Day Air,4,Bank Transfer,Weekly,1,1,1
38,Gloves,Accessories,96,Alabama,XL,Purple,Summer,2.8,Store Pickup,10,Debit Card,Annually,1,1,1
58,Skirt,Clothing,29,Ohio,XL,Beige,Spring,3.6,2-Day Shipping,26,Credit Card,Weekly,1,1,1
32,Sneakers,Footwear,33,Hawaii,L,Cyan,Spring,3.0,Express,40,Cash,Fortnightly,1,1,1
46,T-shirt,Clothing,32,Wisconsin,XL,Silver,Summer,4.5,Store Pickup,34,Bank Transfer,Fortnightly,1,1,1
39,Backpack,Accessories,56,Minnesota,S,Lavender,Summer,2.9,Standard,31,Debit Card,Annually,1,1,1
19,Shoes,Footwear,94,Georgia,S,Purple,Spring,3.3,Store Pickup,1,Bank Transfer,Bi-Weekly,1,1,1
50,Hoodie,Clothing,53,Arkansas,M,Pink,Spring,3.1,Express,5,Bank Transfer,Bi-Weekly,1,1,1
36,Blouse,Clothing,82,West Virginia,M,Maroon,Fall,4.4,Next Day Air,4,Credit Card,Weekly,1,1,1
65,Coat,Outerwear,70,Indiana,XL,Beige,Fall,3.0,Free Shipping,48,Venmo,Quarterly,1,1,1
64,Hat,Accessories,76,Utah,M,Gray,Fall,3.9,Free Shipping,29,Cash,Every 3 Months,1,1,1
46,Shoes,Footwear,29,Nebraska,L,Turquoise,Summer,2.9,Express,12,PayPal,Bi-Weekly,1,1,1
36,Belt,Accessories,100,North Dakota,S,Silver,Fall,3.0,Standard,29,Venmo,Annually,1,1,1
51,Backpack,Accessories,94,Missouri,M,Olive,Spring,3.1,Express,15,Debit Card,Quarterly,1,1,1
51,Jacket,Outerwear,25,New York,M,Magenta,Fall,4.3,Free Shipping,34,Credit Card,Monthly,1,1,1
38,Boots,Footwear,88,Washington,M,Lavender,Summer,3.9,Next Day Air,41,Credit Card,Fortnightly,1,1,1
59,Scarf,Accessories,78,South Carolina,M,Black,Fall,3.2,2-Day Shipping,41,Credit Card,Monthly,1,1,1
57,Jewelry,Accessories,45,Utah,M,Turquoise,Winter,4.8,Standard,39,Credit Card,Fortnightly,1,1,1
54,Hat,Accessories,73,Idaho,XL,Green,Summer,3.8,Express,32,Cash,Weekly,1,1,1
25,Dress,Clothing,61,Pennsylvania,S,Teal,Summer,3.3,Next Day Air,29,Venmo,Monthly,1,1,1
69,Blouse,Clothing,22,Missouri,S,Beige,Fall,4.3,Free Shipping,15,Bank Transfer,Annually,1,1,1
57,Hat,Accessories,38,Nebraska,L,Magenta,Spring,2.7,Express,33,Venmo,Annually,1,1,1
70,Scarf,Accessories,38,Indiana,S,Yellow,Fall,3.2,Next Day Air,18,Bank Transfer,Weekly,1,1,1
24,Sneakers,Footwear,100,Arizona,M,Yellow,Fall,4.0,Store Pickup,35,Cash,Bi-Weekly,1,1,1
67,Shirt,Clothing,64,Hawaii,M,Silver,Winter,3.0,Standard,25,PayPal,Weekly,1,1,1
24,T-shirt,Clothing,55,Wisconsin,L,Silver,Summer,4.2,Free Shipping,6,Venmo,Fortnightly,1,1,1
62,Gloves,Accessories,91,Rhode Island,M,Silver,Summer,2.9,Express,17,Bank Transfer,Bi-Weekly,1,1,1
57,Skirt,Clothing,38,Wisconsin,M,Gold,Spring,4.1,Store Pickup,17,Credit Card,Monthly,1,1,1
55,Sandals,Footwear,97,Minnesota,S,Olive,Winter,3.2,Store Pickup,44,Cash,Every 3 Months,1,1,1
45,Jacket,Outerwear,22,Vermont,L,Teal,Fall,3.0,2-Day Shipping,6,PayPal,Fortnightly,1,1,1
69,Skirt,Clothing,92,South Dakota,L,Maroon,Fall,4.2,2-Day Shipping,45,Debit Card,Fortnightly,1,1,1
67,Handbag,Accessories,84,Virginia,L,Blue,Fall,4.2,Express,7,Debit Card,Annually,1,1,1
30,Handbag,Accessories,93,Nevada,L,Peach,Fall,4.4,Store Pickup,11,Debit Card,Every 3 Months,1,1,1
24,Jacket,Outerwear,50,Hawaii,L,Blue,Summer,4.2,Next Day Air,41,Cash,Every 3 Months,1,1,1
62,Scarf,Accessories,64,New Jersey,S,Orange,Spring,2.8,2-Day Shipping,24,PayPal,Bi-Weekly,1,1,1
43,Shorts,Clothing,61,Massachusetts,L,Yellow,Spring,3.7,Free Shipping,21,Venmo,Weekly,1,1,1
35,Sunglasses,Accessories,48,Oklahoma,M,Purple,Winter,3.5,Next Day Air,24,Bank Transfer,Annually,1,1,1
28,T-shirt,Clothing,45,California,S,Magenta,Spring,2.9,Store Pickup,8,Credit Card,Quarterly,1,1,1
32,Belt,Accessories,88,Nevada,M,Cyan,Spring,3.0,Free Shipping,12,Cash,Fortnightly,1,1,1
39,Sneakers,Footwear,57,Arizona,S,Indigo,Spring,3.7,Express,48,Debit Card,Fortnightly,1,1,1
28,Hat,Accessories,68,North Carolina,XL,Magenta,Summer,4.4,Store Pickup,6,Bank Transfer,Quarterly,1,1,1
47,Gloves,Accessories,94,New York,XL,Gray,Spring,4.5,2-Day Shipping,14,PayPal,Fortnightly,1,1,1
20,Pants,Clothing,41,Wyoming,M,Turquoise,Spring,4.8,Free Shipping,34,PayPal,Annually,1,1,1
63,Socks,Clothing,83,South Dakota,S,Beige,Summer,2.9,Free Shipping,12,Cash,Every 3 Months,1,1,1
25,Jacket,Outerwear,22,Arkansas,M,Olive,Spring,3.2,Next Day Air,11,Bank Transfer,Annually,1,1,1
29,Shoes,Footwear,74,Texas,L,Violet,Spring,3.3,Free Shipping,5,PayPal,Monthly,1,1,1
50,Jeans,Clothing,90,Rhode Island,M,Turquoise,Winter,4.2,Standard,25,Venmo,Fortnightly,1,1,1
18,Socks,Clothing,79,New Hampshire,M,White,Spring,2.9,Store Pickup,11,Credit Card,Annually,1,1,1
70,Sandals,Footwear,28,Ohio,S,Silver,Spring,4.6,Next Day Air,27,PayPal,Every 3 Months,1,1,1
66,Scarf,Accessories,88,Utah,L,Olive,Fall,4.1,Standard,43,Credit Card,Annually,1,1,1
28,Blouse,Clothing,26,Tennessee,M,Blue,Spring,3.1,2-Day Shipping,18,Debit Card,Every 3 Months,1,1,1
